year,Dead Sea
"1,984",685.328
"1,985",680.436
"1,986",676.998
"1,987",672.317
"1,988",672.129
"1,989",667.568
"1,990",662.9
"1,991",660.342
"1,992",666.953
"1,993",667.473
"1,994",663.91
"1,995",661.856
"1,996",656.222
"1,997",654.038
"1,998",650.327
"1,999",646.81
"2,000",645.11
"2,001",642.922
"2,002",640.604
"2,003",641.853
"2,004",640.363
"2,005",637.14
"2,006",635.19
"2,007",631.81
"2,008",628.965
"2,009",626.122
"2,010",623.5
"2,011",621.082
"2,012",617.729
"2,013",616.227
"2,014",613.979
"2,015",611.268
"2,016",608.51
"2,017",605.403
"2,018",603.384
"2,019",601.449
"2,020",599.849
"2,021",597.322
